x;y;a;z;index
9.094;-5.097;3.926;11.140;
5.148;2.296;2.087;6.010;
8.979;-5.346;-1.800;10.604;
12.810;6.088;-0.402;14.188;
6.547;-2.300;0.728;6.977;
13.385;-1.591;5.823;14.683;
10.856;-8.832;-4.501;14.701;
7.753;-0.979;-1.742;8.006;
14.936;-4.522;-4.098;16.134;
4.248;1.262;2.107;4.907;
16.449;-1.764;-0.402;16.548;
3.693;-6.476;-5.937;9.530;
6.049;-1.591;-6.933;9.337;
13.078;3.024;-1.972;13.567;
1.758;-7.702;13.618;15.744;
24.954;-0.232;8.313;26.303;
7.677;2.200;0.230;7.989;
6.872;-7.529;-3.849;10.896;
12.389;-3.334;-3.083;13.195;
1.413;-1.687;1.589;2.715;
13.327;-10.939;8.044;19.026;
7.102;-1.668;-0.612;7.321;
9.516;-4.714;0.134;10.620;
8.998;-1.496;-0.976;9.173;
5.091;2.085;-1.647;5.742;
11.814;-0.998;-0.612;11.871;
8.060;-5.671;0.900;9.896;
10.378;-1.572;-0.192;10.498;
15.587;-1.151;-0.115;15.629;
-0.674;-0.194;1.704;1.843;
7.198;-8.200;7.183;13.063;
5.512;-3.277;4.443;7.801;
6.566;-3.334;4.156;8.456;
18.192;-3.564;2.183;18.666;
5.417;-5.901;2.432;8.372;
11.105;-4.522;1.015;12.033;
7.887;0.553;3.371;8.595;
7.332;-3.143;2.241;8.286;
14.975;-4.848;3.179;16.058;
1.950;-5.461;0.785;5.852;
13.979;-13.103;1.858;19.250;
6.451;-0.653;1.015;6.563;
-5.175;-12.873;9.443;16.783;
17.024;-23.006;1.111;28.641;
0.130;1.166;-0.268;1.203;
6.930;-10.441;-1.915;12.677;
9.209;-12.624;-3.581;16.031;
-0.980;1.242;1.360;2.086;
-0.329;-0.079;-1.608;1.643;
10.665;-16.321;1.532;19.557;
0.992;-1.266;1.513;2.208;
1.835;-33.062;-3.294;33.277;
11.833;-9.368;7.853;17.013;
1.049;-2.951;-0.039;3.132;
0.590;-8.947;0.957;9.018;
3.080;-10.441;-3.696;11.496;
5.915;-20.593;-8.389;23.010;
7.658;-19.980;-5.382;22.064;
0.513;-15.076;1.245;15.136;
1.509;-19.865;1.704;19.995;
4.631;-10.920;1.187;11.921;
3.118;-6.016;0.344;6.785;
3.520;-11.992;-3.888;13.089;
3.865;-3.411;-0.363;5.168;
10.301;-3.143;2.911;11.156;
1.471;-4.350;-1.455;4.817;
8.271;-11.820;-0.957;14.458;
20.951;-4.043;-1.934;21.425;
-0.290;-1.017;-0.900;1.389;
6.336;-4.445;-0.880;7.789;
4.363;-3.871;-0.727;5.878;
7.753;-7.951;-1.819;11.253;
6.451;-3.066;-0.670;7.174;
10.646;-4.867;-0.154;11.707;
7.409;-6.380;0.095;9.778;
3.041;-5.020;2.202;6.269;
3.635;-9.943;-1.474;10.689;
3.310;-8.966;-5.841;11.201;
4.440;-11.341;-2.719;12.479;
-3.451;-7.702;-0.154;8.442;
3.329;-12.739;-3.907;13.734;
0.168;-5.269;3.926;6.573;
4.899;-6.169;11.205;13.697;
-3.202;-6.399;6.991;10.004;
-2.225;-6.035;8.025;10.285;
4.459;-7.376;6.934;11.062;
1.298;-3.775;4.309;5.874;
3.654;-6.246;11.454;13.549;
0.360;-3.028;4.578;5.501;
2.448;-5.327;10.898;12.375;
2.467;-4.196;5.229;7.144;
1.183;-12.509;1.494;12.654;
3.616;-4.924;10.343;12.013;
1.011;-4.120;4.827;6.427;
1.222;-9.330;10.286;13.941;
0.877;-3.928;5.133;6.523;
1.490;-7.587;9.788;12.474;
3.214;-8.966;7.259;11.976;
-2.551;-7.568;4.022;8.943;
-2.512;-12.165;5.344;13.523;
1.011;-4.790;0.555;4.927;
7.006;-9.445;0.555;11.773;
6.355;-7.587;3.869;10.626;
7.294;-6.342;2.183;9.909;
10.492;-6.495;1.436;12.423;
5.589;-3.833;0.919;6.839;
12.906;-5.173;4.405;14.585;
3.214;-2.913;1.226;4.508;
9.152;-10.517;5.325;14.924;
5.666;-2.894;2.279;6.758;
8.290;-3.679;0.517;9.084;
12.676;-2.951;1.494;13.100;
5.206;-4.235;1.034;6.790;
12.274;-8.813;1.819;15.219;
3.482;-2.607;0.728;4.410;
10.761;-4.809;2.758;12.105;
6.662;-2.070;1.570;7.150;
4.689;-6.361;1.283;8.006;
10.837;-4.484;1.436;11.815;
5.953;-3.354;0.957;6.899;
13.040;-6.035;4.539;15.069;
2.926;-2.856;0.517;4.121;
13.404;-7.146;2.394;15.377;
3.923;-0.194;1.628;4.252;
12.370;-5.116;5.363;14.420;
6.891;-0.060;1.858;7.137;
7.964;-3.411;0.459;8.676;
13.117;-0.098;0.766;13.139;
4.018;-2.338;0.785;4.714;
12.370;-3.852;5.669;14.142;
3.348;-1.821;1.360;4.047;
12.982;-7.683;7.106;16.675;
7.102;-3.545;0.957;7.995;
8.941;-3.009;1.149;9.503;
17.216;-1.687;1.302;17.347;
4.018;-4.139;1.455;5.949;
14.189;-5.231;4.827;15.874;
2.563;-1.955;0.172;3.228;
13.768;-3.239;3.658;14.609;
6.413;-1.668;1.953;6.908;
6.336;-4.062;1.302;7.638;
12.484;-5.576;0.651;13.688;
5.646;-3.124;0.842;6.507;
14.304;-3.373;4.807;15.462;
3.578;-2.013;1.704;4.445;
10.818;-8.142;4.271;14.197;
6.393;-3.085;0.651;7.128;
8.156;-7.893;3.658;11.925;
11.335;-2.971;3.294;12.172;
5.627;-4.024;1.379;7.054;
10.435;-12.586;7.834;18.129;
2.658;-4.867;1.245;5.684;
9.630;-10.268;1.360;14.143;
4.746;-7.759;-0.861;9.136;
2.160;-10.766;-1.915;11.147;
5.972;-9.100;-0.861;10.919;
2.543;-7.357;0.632;7.810;
10.167;-14.961;2.509;18.262;
0.915;-6.610;-0.039;6.674;
5.876;-10.211;3.562;12.308;
2.294;-7.204;-0.173;7.563;
4.229;-8.468;0.402;9.474;
11.125;-10.249;4.443;15.765;
0.628;-6.437;0.115;6.469;
7.217;-16.685;1.187;18.218;
4.095;-8.085;-0.574;9.081;
3.061;-11.188;-0.039;11.600;
2.754;-10.249;3.237;11.096;
4.689;-6.572;3.467;8.786;
1.126;-7.836;4.788;9.252;
0.360;-10.307;4.903;11.420;
3.808;-7.338;11.492;14.157;
3.271;-9.387;-2.911;10.358;
7.619;-14.999;1.475;16.888;
0.724;-8.276;11.722;14.368;
-5.826;-4.867;-2.604;8.026;
-6.496;-10.862;-4.807;13.539;
-3.164;1.070;2.988;4.482;
-9.906;-9.368;0.210;13.636;
-8.661;-6.495;5.420;12.107;
-8.488;2.641;7.068;11.357;
-7.588;-2.971;-7.910;11.357;
-8.929;-11.552;-7.221;16.289;
-12.760;-1.036;4.807;13.675;
-6.611;9.651;0.517;11.709;
-5.769;-8.487;6.550;12.175;
-1.670;9.306;9.577;13.458;
-6.132;-5.461;6.838;10.686;
-12.051;8.732;0.191;14.883;
-2.129;0.170;1.532;2.629;
-7.033;0.802;2.183;7.408;
-4.715;8.502;0.479;9.733;
-4.543;5.820;1.973;7.642;
-8.450;7.851;3.352;12.012;
-3.930;9.613;2.854;10.770;
-3.374;13.788;-0.192;14.196;
3.980;-0.710;11.262;11.966;
7.217;30.778;16.147;35.497;
-1.535;-3.373;1.915;4.172;
3.195;-14.559;6.953;16.448;
2.850;-8.736;14.519;17.183;
-1.765;-4.043;7.508;8.709;
5.378;1.051;11.837;13.044;
-0.310;-2.013;10.151;10.354;
0.532;-11.820;5.190;12.921;
0.858;-5.001;3.716;6.290;
3.961;-20.631;1.992;21.102;
16.526;-7.434;3.390;18.435;
3.099;-6.035;4.846;8.338;
1.605;13.597;10.822;17.452;
14.687;6.184;-1.091;15.973;
13.500;1.319;1.877;13.693;
3.271;4.709;-0.900;5.803;
13.519;1.434;9.634;16.662;
7.964;-0.098;5.823;9.866;
5.953;-6.897;12.278;15.289;
9.650;-10.019;-7.106;15.620;
3.597;-20.363;2.164;20.792;
-0.252;-6.591;4.175;7.807;
0.360;-6.859;4.309;8.109;
1.758;-6.993;8.600;11.223;
0.360;-13.007;6.167;14.400;
1.681;-11.686;-0.134;11.807;
0.934;-10.249;-1.015;10.342;
0.609;-9.789;-1.896;9.990;
0.839;-9.560;-1.934;9.790;
0.705;-9.770;-2.049;10.008;
0.551;-8.487;-2.164;8.776;
1.471;-11.188;-1.838;11.433;
4.784;-6.303;-1.704;8.094;
-0.520;-5.863;3.256;6.727;
2.639;-3.698;7.336;8.629;
7.887;-13.697;5.727;16.811;
6.125;-5.978;5.880;10.384;
