x;y;z;a;index
8.239;-2.306;-4.998;9.908;9.668
8.289;-2.423;-5.144;10.052;9.662
7.995;-1.966;-5.144;9.708;9.676
8.385;-1.765;-4.783;9.813;9.686
8.438;-1.834;-5.108;10.032;9.645
8.112;-1.839;-5.309;9.868;9.616
8.198;-1.880;-4.869;9.718;9.431
8.433;-1.901;-5.266;10.122;9.174
8.268;-2.260;-5.431;10.147;8.589
8.210;-2.069;-5.242;9.958;8.434
8.232;-2.095;-5.099;9.907;7.106
8.344;-2.241;-4.866;9.916;6.736
8.311;-2.332;-4.926;9.938;5.624
8.280;-2.385;-4.900;9.912;4.285
8.186;-2.574;-5.039;9.951;2.886
8.256;-2.667;-5.070;10.049;1.820
8.141;-2.691;-4.783;9.818;1.736
8.385;-2.811;-4.498;9.921;1.669
8.361;-2.694;-4.529;9.883;1.643
8.509;-2.658;-4.483;9.979;1.446
8.507;-2.694;-4.476;9.983;1.433
8.529;-2.789;-4.311;9.955;1.340
8.550;-2.861;-4.172;9.935;1.223
8.591;-2.971;-4.012;9.936;1.193
8.596;-3.038;-3.808;9.880;1.150
8.672;-3.086;-3.700;9.921;1.067
8.660;-3.139;-3.643;9.906;0.965
8.675;-3.177;-3.645;9.931;0.866
8.711;-3.156;-3.727;9.986;0.826
8.636;-3.218;-3.691;9.928;0.819
8.643;-3.208;-3.643;9.913;0.765
8.708;-3.223;-3.619;9.966;0.760
8.684;-3.201;-3.669;9.956;0.759
8.646;-3.168;-3.667;9.911;0.718
8.620;-3.086;-3.758;9.897;0.719
8.648;-3.084;-3.825;9.946;0.652
8.677;-3.127;-3.844;9.992;0.523
8.684;-3.108;-3.868;10.002;0.509
8.694;-3.091;-3.868;10.005;0.484
8.711;-3.101;-3.870;10.023;0.483
8.699;-3.074;-3.832;9.990;0.446
8.667;-3.084;-3.820;9.961;0.418
8.634;-3.115;-3.854;9.955;0.372
8.610;-3.105;-3.815;9.916;0.308
8.627;-3.103;-3.844;9.941;0.276
8.631;-3.081;-3.854;9.942;0.266
8.639;-3.084;-3.837;9.943;0.263
8.648;-3.098;-3.806;9.944;0.249
8.658;-3.120;-3.837;9.971;0.230
8.677;-3.127;-3.837;9.989;0.226
8.675;-3.115;-3.849;9.988;0.215
8.679;-3.103;-3.832;9.982;0.208
8.689;-3.117;-3.782;9.976;0.208
8.684;-3.146;-3.717;9.956;0.181
8.667;-3.156;-3.674;9.929;0.172
8.665;-3.151;-3.660;9.920;0.164
8.660;-3.158;-3.657;9.917;0.161
8.682;-3.149;-3.640;9.927;0.163
8.631;-3.117;-3.597;9.857;0.177
8.696;-3.192;-3.660;9.960;0.207
8.732;-3.220;-3.640;9.994;0.210
8.655;-3.105;-3.612;9.880;0.246
8.636;-3.137;-3.554;9.852;0.251
8.651;-3.204;-3.557;9.887;0.258
8.679;-3.189;-3.566;9.911;0.259
8.708;-3.175;-3.590;9.940;0.262
8.713;-3.201;-3.588;9.952;0.261
8.725;-3.184;-3.617;9.967;0.260
8.679;-3.187;-3.624;9.931;0.264
8.687;-3.213;-3.597;9.936;0.266
8.665;-3.213;-3.590;9.914;0.266
8.672;-3.208;-3.576;9.914;0.261
8.687;-3.213;-3.569;9.926;0.252
8.675;-3.220;-3.542;9.908;0.249
8.701;-3.206;-3.595;9.945;0.256
8.713;-3.196;-3.621;9.962;0.258
8.694;-3.194;-3.621;9.945;0.257
8.665;-3.206;-3.614;9.921;0.248
8.675;-3.189;-3.624;9.927;0.220
8.687;-3.220;-3.638;9.953;0.217
8.701;-3.208;-3.626;9.957;0.167
8.670;-3.204;-3.609;9.922;0.156
8.679;-3.201;-3.638;9.941;0.144
8.694;-3.204;-3.652;9.959;0.141
8.701;-3.213;-3.691;9.983;0.141
8.715;-3.192;-3.693;9.989;0.141
8.703;-3.206;-3.638;9.963;0.149
8.670;-3.225;-3.612;9.930;0.149
8.634;-3.216;-3.621;9.899;0.149
8.639;-3.237;-3.643;9.918;0.150
8.691;-3.285;-3.660;9.986;0.166
8.660;-3.141;-3.688;9.923;0.223
8.608;-3.204;-3.640;9.880;0.241
8.591;-3.314;-3.640;9.901;0.258
8.550;-3.218;-3.662;9.842;0.277
8.545;-3.244;-3.655;9.844;0.278
8.564;-3.268;-3.679;9.877;0.279
8.605;-3.275;-3.734;9.936;0.287
8.615;-3.280;-3.837;9.985;0.303
8.620;-3.225;-3.842;9.973;0.307
8.636;-3.239;-3.861;9.999;0.306
8.620;-3.295;-3.866;10.005;0.310
8.629;-3.256;-3.849;9.994;0.312
8.608;-3.237;-3.796;9.949;0.316
8.603;-3.242;-3.727;9.920;0.322
8.600;-3.280;-3.708;9.923;0.320
8.610;-3.287;-3.719;9.938;0.317
8.622;-3.273;-3.765;9.961;0.318
8.600;-3.283;-3.782;9.952;0.318
8.610;-3.297;-3.808;9.975;0.311
8.588;-3.290;-3.837;9.965;0.275
8.545;-3.275;-3.810;9.913;0.264
8.557;-3.302;-3.789;9.924;0.242
8.560;-3.316;-3.777;9.926;0.218
8.574;-3.295;-3.777;9.931;0.218
8.562;-3.285;-3.755;9.910;0.216
8.557;-3.323;-3.758;9.919;0.208
8.562;-3.323;-3.772;9.929;0.181
8.576;-3.330;-3.794;9.952;0.175
8.581;-3.283;-3.736;9.918;0.188
8.584;-3.338;-3.787;9.958;0.194
8.603;-3.330;-3.806;9.979;0.191
8.612;-3.278;-3.813;9.973;0.189
8.567;-3.304;-3.779;9.929;0.186
8.564;-3.340;-3.708;9.912;0.198
8.543;-3.323;-3.672;9.875;0.203
8.543;-3.314;-3.688;9.878;0.198
8.588;-3.338;-3.739;9.944;0.208
8.610;-3.316;-3.784;9.972;0.213
8.627;-3.299;-3.782;9.980;0.211
8.593;-3.287;-3.727;9.927;0.215
8.569;-3.330;-3.703;9.911;0.219
8.581;-3.342;-3.734;9.937;0.221
8.564;-3.266;-3.708;9.887;0.234
8.596;-3.266;-3.693;9.909;0.235
8.593;-3.328;-3.645;9.910;0.245
8.617;-3.304;-3.698;9.942;0.253
8.608;-3.292;-3.751;9.950;0.257
8.588;-3.268;-3.736;9.920;0.248
8.576;-3.287;-3.734;9.915;0.238
8.608;-3.309;-3.731;9.948;0.239
8.603;-3.302;-3.770;9.956;0.236
8.608;-3.266;-3.787;9.955;0.231
8.591;-3.271;-3.748;9.927;0.221
8.576;-3.283;-3.727;9.911;0.218
8.569;-3.292;-3.751;9.917;0.219
8.576;-3.287;-3.753;9.922;0.207
8.584;-3.259;-3.787;9.932;0.205
8.584;-3.261;-3.787;9.932;0.203
8.579;-3.266;-3.791;9.932;0.193
8.581;-3.249;-3.794;9.929;0.185
8.569;-3.244;-3.753;9.902;0.187
8.648;-3.299;-3.849;10.025;0.216
8.641;-3.237;-3.878;10.009;0.224
8.641;-3.194;-3.830;9.977;0.219
8.617;-3.256;-3.784;9.959;0.225
8.620;-3.244;-3.763;9.949;0.220
8.624;-3.247;-3.794;9.966;0.219
8.631;-3.235;-3.779;9.962;0.219
8.651;-3.254;-3.777;9.984;0.218
8.629;-3.225;-3.806;9.967;0.219
8.660;-3.237;-3.763;9.982;0.222
8.653;-3.244;-3.765;9.979;0.218
8.643;-3.232;-3.717;9.949;0.222
8.624;-3.242;-3.698;9.928;0.222
8.627;-3.256;-3.662;9.921;0.226
8.624;-3.232;-3.645;9.905;0.223
8.634;-3.218;-3.619;9.899;0.225
8.665;-3.201;-3.626;9.924;0.228
8.675;-3.211;-3.609;9.929;0.228
8.677;-3.184;-3.583;9.913;0.227
8.651;-3.218;-3.569;9.896;0.188
8.639;-3.235;-3.569;9.891;0.176
8.667;-3.239;-3.585;9.923;0.167
8.691;-3.206;-3.614;9.944;0.155
8.682;-3.232;-3.585;9.934;0.158
8.722;-3.244;-3.569;9.967;0.161
8.701;-3.247;-3.590;9.957;0.163
8.708;-3.247;-3.552;9.949;0.165
8.706;-3.247;-3.518;9.935;0.162
8.687;-3.228;-3.542;9.921;0.157
8.689;-3.213;-3.535;9.916;0.158
8.730;-3.256;-3.521;9.960;0.161
8.706;-3.204;-3.502;9.915;0.170
8.749;-3.287;-3.528;9.990;0.192
8.742;-3.208;-3.557;9.968;0.208
