x,y;z;a;
7.034;2.464;0.801;7.496
17.454;4.398;0.964;18.025
4.860;1.018;1.922;5.324
8.241;0.271;-0.827;8.287
6.526;3.010;0.217;7.190
7.666;1.640;-0.176;7.842
24.799;21.033;2.793;32.637
25.738;7.788;-4.485;27.262
2.437;-7.994;-2.225;8.649
28.879;5.126;-5.816;29.901
7.896;4.810;4.086;10.108
12.052;-5.246;-0.329;13.148
7.915;-3.780;-3.633;9.494
6.900;2.234;-1.018;7.324
13.757;0.529;-1.583;13.858
7.628;1.295;1.902;7.968
14.351;3.575;-1.315;14.848
8.327;2.531;-1.698;8.867
6.766;1.190;-0.003;6.870
9.974;5.346;1.433;11.407
7.369;2.579;1.625;7.975
12.024;0.280;2.017;12.195
8.700;2.033;0.418;8.945
9.419;1.171;-0.932;9.537
8.356;2.550;-0.798;8.772
9.227;2.349;0.705;9.548
11.717;6.754;4.009;14.106
13.412;7.894;-0.492;15.571
6.546;0.836;-0.635;6.629
1.939;11.983;-1.986;12.300
0.761;8.775;-0.779;8.842
1.211;2.933;7.007;7.692
-1.125;1.066;-1.191;1.954
10.692;35.504;5.341;37.462
3.558;15.134;3.176;15.868
5.770;5.308;1.098;7.917
4.448;3.067;4.756;7.198
5.732;4.015;4.105;8.113
6.172;5.509;6.289;10.392
3.433;6.180;6.768;9.786
0.522;5.433;6.566;8.538
1.231;4.925;7.160;8.777
4.946;3.125;8.855;10.613
-0.455;4.379;8.932;9.958
0.445;4.149;8.788;9.729
0.445;8.622;7.400;11.370
15.605;17.892;12.456;26.811
8.231;7.559;6.126;12.744
5.760;-1.003;3.138;6.636
9.026;3.335;1.318;9.712
7.704;6.649;-0.348;10.183
6.641;8.603;3.071;11.293
2.514;6.678;7.457;10.321
-0.857;9.608;5.427;11.068
-4.008;1.765;7.026;8.279
-5.607;3.661;4.316;7.967
-5.330;5.212;5.197;9.087
-7.513;6.974;0.341;10.257
-5.109;7.271;3.578;9.580
-4.458;4.580;4.220;7.659
-4.123;8.143;2.410;9.440
-4.142;8.449;1.060;9.469
-4.152;7.252;2.209;8.643
-2.648;8.641;-0.195;9.040
-1.863;10.154;-0.655;10.344
1.116;9.464;0.983;9.581
2.772;8.880;2.448;9.620
3.471;9.033;2.851;10.089
5.588;1.420;6.298;8.539
3.797;4.839;5.944;8.553
6.996;6.965;4.479;10.840
1.690;8.535;2.678;9.104
6.622;24.127;6.653;25.888
5.760;2.876;-12.501;14.062
8.356;4.896;-3.125;10.176
5.655;6.630;-3.815;9.512
5.847;6.668;-2.876;9.323
5.052;6.055;-0.683;7.915
4.353;6.256;-0.501;7.638
6.718;7.875;1.088;10.408
6.249;7.358;-1.708;9.803
5.128;7.721;0.686;9.295
4.793;9.244;1.491;10.519
5.569;5.318;2.611;8.131
6.814;7.693;2.257;10.521
5.837;5.729;2.448;8.538
6.670;7.310;1.749;10.049
5.368;6.946;1.788;8.958
4.994;6.400;2.142;8.396
6.756;5.739;1.175;8.942
6.277;6.534;1.950;9.268
7.092;5.883;1.424;9.323
7.944;5.682;0.945;9.812
6.890;6.812;2.956;10.130
6.728;6.984;2.937;10.132
10.788;5.433;12.964;17.719
4.343;6.792;3.981;8.991
11.162;4.810;5.561;13.366
37.306;-8.224;10.081;39.510
7.341;0.414;3.827;8.289
7.331;3.651;-0.501;8.205
7.695;-1.128;3.856;8.681
9.055;2.176;0.600;9.332
7.858;1.631;6.442;10.291
6.957;0.577;5.513;8.896
6.249;2.473;6.116;9.087
5.971;1.592;6.260;8.796
6.258;2.416;6.270;9.182
6.354;2.071;6.126;9.066
6.431;2.109;6.193;9.174
6.450;2.167;6.289;9.265
7.379;1.382;6.107;9.677
10.884;1.908;7.716;13.477
2.562;-2.957;2.027;4.406
4.458;16.139;-1.890;16.850
8.892;4.753;-1.478;10.190
9.974;2.378;-2.541;10.564
8.921;2.703;-3.690;10.025
10.252;3.316;-2.656;11.097
8.088;4.599;-0.540;9.320
8.078;5.308;3.827;10.396
2.993;5.643;1.452;6.551
3.663;6.955;3.023;8.422
3.213;7.635;1.366;8.396
22.577;-12.524;3.559;26.062
5.205;4.226;5.791;8.859
5.483;6.103;6.538;10.490
4.697;3.086;-0.147;5.622
3.251;7.310;-0.310;8.006
5.799;5.212;6.432;10.108
6.526;-0.227;4.163;7.744
5.339;4.034;7.965;10.403
6.038;2.119;4.603;7.883
7.446;2.454;8.348;11.452
6.584;5.289;3.100;8.996
6.325;6.802;3.598;9.961
6.526;2.205;4.220;8.079
9.007;2.588;5.800;11.021
7.159;-1.204;5.427;9.063
4.707;-2.104;4.431;6.798
6.009;-2.401;5.120;8.252
6.804;1.008;5.532;8.827
6.249;5.021;6.739;10.472
6.680;6.074;5.360;10.500
7.072;4.954;3.540;9.332
7.417;3.910;3.483;9.079
5.866;3.690;3.962;7.982
6.057;7.664;3.396;10.342
5.463;6.591;1.970;8.785
5.511;8.239;-0.022;9.912
2.092;24.404;-4.409;24.887
2.753;12.807;8.319;15.518
5.138;4.973;1.788;7.370
0.991;0.941;7.208;7.336
-2.533;13.400;5.159;14.581
1.374;1.611;4.948;5.382
3.194;0.347;7.093;7.787
4.123;4.858;4.076;7.564
4.439;5.864;4.488;8.616
-1.690;15.555;1.136;15.688
-3.309;5.662;1.424;6.711
3.807;9.800;3.971;11.238
4.946;6.601;3.205;8.849
3.510;8.392;3.205;9.644
2.638;8.315;1.989;8.948
4.180;5.136;4.172;7.827
8.863;5.327;5.159;11.556
7.360;2.799;4.105;8.880
2.562;9.110;6.317;11.378
3.002;6.572;8.396;11.077
3.835;-1.501;15.559;16.095
5.444;1.669;0.351;5.705
8.566;5.998;3.607;11.062
2.590;3.805;3.847;5.998
4.649;7.721;4.086;9.896
0.962;6.563;5.216;8.438
1.690;32.094;12.485;34.479
1.997;10.326;3.080;10.959
-0.043;8.382;3.550;9.103
-1.834;12.481;-4.389;13.357
-2.591;4.140;3.176;5.826
-0.924;14.435;2.898;14.752
-0.761;6.879;2.851;7.485
1.068;8.804;6.442;10.961
0.273;8.162;3.396;8.845
0.464;7.128;4.718;8.560
-0.139;8.449;4.632;9.637
0.407;8.009;4.574;9.232
0.665;7.942;5.149;9.488
0.905;8.037;4.756;9.383
-0.196;8.756;3.837;9.562
0.081;8.526;4.373;9.582
0.311;8.124;4.536;9.310
1.049;7.415;6.097;9.657
1.882;5.940;6.988;9.362
1.441;6.457;4.938;8.256
0.962;3.919;3.215;5.160
1.508;11.198;-0.875;11.333
2.255;9.273;-0.032;9.543
3.222;8.583;-0.358;9.175
3.807;7.271;-1.622;8.366
4.190;8.191;-2.436;9.517
-0.014;0.501;-1.239;1.336
9.984;1.152;3.291;10.575
7.839;7.520;2.094;11.063
3.299;8.545;-2.752;9.564
5.061;5.806;-1.191;7.794
4.755;9.215;3.080;10.818
5.559;6.754;2.726;9.163
5.301;8.219;1.950;9.973
3.424;-0.266;-0.291;3.446
2.485;7.884;-3.796;9.096
6.919;4.216;-0.386;8.112
4.889;10.135;-0.635;11.270
4.429;6.074;-1.679;7.703
4.037;5.519;-1.488;6.997
6.086;6.860;-1.287;9.260
5.090;6.189;-1.373;8.130
8.576;7.358;-2.579;11.590
6.220;7.425;-1.497;9.801
6.297;6.323;0.351;8.931
4.506;4.370;0.859;6.335
4.506;7.185;1.768;8.663
8.298;5.691;4.153;10.886
2.217;6.802;-0.817;7.201
11.267;11.686;2.621;16.443
6.459;4.216;3.377;8.421
4.132;2.301;3.693;6.001
17.789;-7.707;20.309;28.077
7.637;3.268;-0.453;8.320
9.304;0.031;5.130;10.624
2.744;5.241;0.523;5.939
7.839;2.809;3.904;9.196
13.738;-2.459;11.834;18.298
7.733;1.506;0.418;7.890
7.532;3.297;2.391;8.563
7.618;3.594;3.071;8.966
7.254;4.743;0.907;8.715
8.040;3.421;2.573;9.108
2.906;3.872;-0.865;4.918
7.733;3.383;4.661;9.642
5.894;9.445;0.571;11.148
7.590;2.004;1.443;7.981
7.637;6.266;3.952;10.640
7.197;2.090;3.100;8.110
7.369;7.856;2.985;11.177
5.722;5.442;1.443;8.027
7.044;6.840;3.147;10.311
6.201;6.409;1.625;9.065
8.040;3.125;3.234;9.212
7.724;3.201;2.027;8.603
7.494;4.370;-0.147;8.676
5.463;4.197;-0.971;6.958
7.226;7.137;2.286;10.410
13.958;-18.002;-12.817;26.138
-2.045;-8.454;-7.837;11.708
4.017;-5.648;-3.336;7.692
3.433;-6.510;-7.923;10.814
2.476;-6.232;-6.918;9.634
2.514;-6.021;-7.301;9.792
2.590;-6.060;-7.148;9.722
2.428;-5.964;-6.927;9.458
2.361;-5.983;-6.889;9.425
2.265;-5.858;-6.793;9.252
2.380;-5.897;-6.879;9.368
2.294;-5.926;-6.765;9.281
2.198;-6.012;-6.908;9.418
2.284;-5.945;-6.803;9.318
2.236;-5.906;-6.870;9.332
