[20210414 14:19:53]	-4.483705;9.104611;4.670969;11.172086;possible fall detected
[20210414 14:19:53]	-5.977686;1.759201;5.848916;8.546189;possible fall detected
[20210414 14:19:53]	0.256815;2.343386;7.036440;7.420843;possible fall detected
[20210414 14:19:53]	-4.636934;3.291490;7.563165;9.462374;possible fall detected
[20210414 14:19:53]	-4.454974;1.950737;8.310156;9.628648;possible fall detected
[20210414 14:19:54]	-6.063878;7.016868;5.666957;10.868369;possible fall detected
[20210414 14:19:54]	-8.142044;4.823779;2.286344;9.735969;possible fall detected
[20210414 14:19:54]	-8.745383;3.923559;2.152269;9.823864;possible fall detected
[20210414 14:19:54]	-6.130916;5.388810;6.375641;10.357422;possible fall detected
[20210414 14:19:54]	-6.648063;5.264312;5.331769;10.016860;possible fall detected
[20210414 14:19:55]	-8.161198;3.923559;4.153821;9.962615;possible fall detected
[20210414 14:19:55]	-8.754960;4.526898;4.757160;10.944072;possible fall detected
[20210414 14:19:55]	[1618402795291] no fall
[20210414 14:23:44]	-3.209989;9.468530;-6.112515;11.718359;last second
[20210414 14:23:44]	-6.935367;10.636900;-0.059974;12.698289;last second
[20210414 14:23:44]	-7.557860;8.300159;1.156281;11.284985;last second
[20210414 14:23:44]	-3.229143;7.869203;-0.251510;8.509699;last second
[20210414 14:23:44]	-2.328923;11.958500;0.054948;12.183293;last second
[20210414 14:23:44]	3.723619;2.276348;8.578306;9.624678;last second
[20210414 14:23:44]	4.872836;1.060094;8.377193;9.749138;last second
[20210414 14:23:44]	3.924732;4.000174;8.022851;9.786268;last second
[20210414 14:23:44]	3.972616;7.735128;5.829762;10.469002;last second
[20210414 14:23:44]	7.630956;-1.458606;-1.946604;8.009263;last second
[20210414 14:23:44]	0.333429;25.576719;3.387677;25.802250;shock no free fall check for stasis
[20210414 14:23:44]	1.214496;3.272336;-0.797388;3.580364;stasis
[20210414 14:23:44]	0.812270;9.583451;-3.268204;10.157927;stasis
[20210414 14:23:44]	-1.974581;7.993702;11.575847;14.205579;stasis
[20210414 14:23:44]	0.706925;3.607524;-0.835695;3.769928;stasis
[20210414 14:23:45]	1.645452;12.006384;-8.525870;14.817261;stasis
[20210414 14:23:45]	1.243226;9.401492;-2.128564;9.719282;stasis
[20210414 14:23:45]	-3.707983;11.834002;-0.720773;12.422248;stasis
[20210414 14:23:45]	-1.074361;7.237134;-0.586698;7.339930;stasis
[20210414 14:23:45]	-2.884378;13.232215;2.927990;13.855839;stasis
[20210414 14:23:46]	1.406032;1.989044;2.219306;3.295230;stasis
[20210414 14:23:46]	0.247238;10.205944;-0.328124;10.214210;stasis
[20210414 14:23:46]	-3.363218;15.549802;5.657380;16.885305;stasis
[20210414 14:23:46]	2.852129;1.117555;-2.004065;3.660580;stasis
[20210414 14:23:46]	0.065279;18.078079;2.592802;18.263182;stasis
[20210414 14:23:47]	-0.576367;2.946725;1.941579;3.575628;stasis
[20210414 14:23:47]	-4.483705;11.623311;5.868070;13.770955;stasis
[20210414 14:23:47]	-6.130916;1.749624;9.603024;11.526812;stasis
[20210414 14:23:47]	-10.593707;-2.186444;4.153821;11.587122;stasis
[20210414 14:23:47]	-9.798832;0.054529;1.347817;9.891243;stasis
[20210414 14:23:48]	-9.061418;0.897288;1.175435;9.181289;stasis
