x;y;z;a
9.141;3.326;-1.593;9.857
7.819;3.345;0.332;8.511
10.884;0.309;-0.827;10.920
11.229;0.692;4.163;11.995
8.250;1.659;1.088;8.486
6.584;4.858;1.270;8.280
9.151;2.636;-0.884;9.564
7.197;2.196;0.092;7.525
11.047;2.253;0.418;11.282
6.354;4.235;0.073;7.637
8.930;2.837;3.981;10.181
12.866;3.479;1.175;13.380
10.386;2.205;-1.325;10.700
7.858;3.010;-0.568;8.434
11.478;3.536;-1.076;12.058
8.260;1.602;1.337;8.519
7.886;4.063;3.004;9.366
9.754;26.942;19.600;34.716
13.700;0.769;-3.010;14.047
10.922;0.941;-2.206;11.182
8.825;1.564;6.787;11.242
10.577;2.636;-1.478;11.001
7.024;4.705;-0.540;8.472
5.703;6.697;5.178;10.207
5.904;14.310;1.290;15.534
1.355;11.246;-2.014;11.505
3.404;-0.266;-6.257;7.128
9.955;2.425;5.532;11.644
13.125;9.024;-0.109;15.928
-4.889;21.598;-2.809;22.322
-4.458;7.769;-4.342;9.954
0.551;-2.315;2.506;3.456
2.657;5.433;2.305;6.472
-2.619;11.016;-1.564;11.431
5.320;7.875;-0.549;9.519
7.637;3.326;-1.038;8.394
9.380;5.682;-0.291;10.971
7.522;4.504;1.730;8.937
8.595;2.272;-1.469;9.011
8.595;2.272;-1.469;9.011
8.595;2.272;-1.469;9.011
8.595;2.272;-1.469;9.011
8.595;2.272;-1.469;9.011
3.931;16.819;18.930;25.626
1.681;6.936;8.568;11.151
-0.551;1.295;7.333;7.466
1.058;3.814;9.277;10.086
0.876;4.303;9.018;10.030
1.211;2.445;9.372;9.761
1.068;1.956;9.487;9.746
1.259;2.167;9.478;9.804
1.144;2.224;9.449;9.775
1.183;2.081;9.439;9.738
1.163;2.100;9.459;9.758
1.125;2.109;9.468;9.765
1.163;2.042;9.526;9.811
1.211;2.119;9.334;9.648
1.192;2.196;9.411;9.737
1.154;2.119;9.382;9.687
1.125;2.196;9.401;9.719
1.087;2.081;9.430;9.718
1.096;2.033;9.526;9.802
1.068;2.081;9.574;9.855
1.068;2.071;9.468;9.751
1.154;2.138;9.420;9.729
1.154;2.138;9.420;9.729
1.154;2.138;9.420;9.729
1.144;2.109;9.487;9.786
1.077;2.138;9.459;9.757
