x;y;z;a;index
0.017;-0.005;9.789;9.789;0.093
-0.012;-0.012;9.806;9.806;0.096
0.007;-0.012;9.803;9.803;0.097
0.003;0.005;9.803;9.803;0.095
0.003;-0.010;9.801;9.801;0.093
-0.002;-0.019;9.796;9.796;0.093
0.029;0.007;9.799;9.799;0.100
-0.009;-0.002;9.806;9.806;0.107
0.010;-0.022;9.801;9.801;0.110
0.007;-0.007;9.806;9.806;0.109
0.007;-0.000;9.799;9.799;0.107
-0.002;-0.024;9.772;9.772;0.109
0.012;-0.014;9.808;9.808;0.115
0.019;0.005;9.779;9.779;0.115
-0.005;-0.010;9.799;9.799;0.118
-0.002;-0.012;9.799;9.799;0.117
0.019;-0.007;9.815;9.815;0.119
0.014;0.017;9.787;9.787;0.124
0.017;-0.012;9.796;9.796;0.125
0.005;-0.005;9.803;9.803;0.124
0.014;0.010;9.794;9.794;0.120
-0.005;-0.017;9.794;9.794;0.123
-0.002;-0.010;9.803;9.803;0.123
0.005;-0.012;9.803;9.803;0.122
0.005;-0.017;9.791;9.791;0.122
-0.005;-0.012;9.784;9.784;0.116
0.007;-0.002;9.789;9.789;0.110
0.012;-0.010;9.796;9.796;0.107
-0.007;-0.007;9.794;9.794;0.108
0.017;-0.022;9.803;9.803;0.111
0.019;-0.014;9.784;9.784;0.107
0.007;0.007;9.787;9.787;0.102
0.014;-0.010;9.794;9.794;0.098
0.012;-0.022;9.799;9.799;0.093
0.007;-0.010;9.796;9.796;0.094
-0.009;0.005;9.803;9.803;0.092
-0.005;-0.017;9.796;9.796;0.087
-0.009;-0.017;9.789;9.789;0.082
0.000;-0.002;9.794;9.794;0.083
0.014;-0.022;9.791;9.791;0.084
-0.002;-0.010;9.770;9.770;0.083
0.007;-0.010;9.808;9.808;0.091
0.005;-0.005;9.799;9.799;0.091
-0.014;-0.010;9.763;9.763;0.099
0.010;-0.012;9.818;9.818;0.115
-0.007;0.007;9.808;9.808;0.117
0.010;-0.017;9.820;9.820;0.121
0.007;-0.014;9.813;9.813;0.120
0.007;-0.010;9.794;9.794;0.118
-0.002;-0.019;9.787;9.787;0.117
-0.007;-0.007;9.799;9.799;0.116
0.005;-0.019;9.791;9.791;0.115
0.003;-0.005;9.794;9.794;0.116
-0.009;-0.019;9.782;9.782;0.117
0.010;0.002;9.782;9.782;0.118
0.005;0.012;9.806;9.806;0.119
0.003;-0.014;9.811;9.811;0.122
0.003;-0.005;9.789;9.789;0.123
0.012;-0.007;9.808;9.808;0.122
0.010;0.002;9.801;9.801;0.119
-0.002;-0.014;9.808;9.808;0.114
-0.005;-0.014;9.806;9.806;0.114
0.012;-0.017;9.820;9.820;0.109
0.010;-0.017;9.801;9.801;0.092
0.005;-0.012;9.808;9.808;0.089
0.010;-0.019;9.789;9.789;0.086
0.010;-0.000;9.791;9.791;0.088
0.003;-0.026;9.796;9.796;0.090
0.007;-0.014;9.777;9.777;0.091
0.012;-0.000;9.791;9.791;0.092
-0.012;-0.007;9.791;9.791;0.094
-0.009;-0.017;9.794;9.794;0.093
0.010;-0.019;9.806;9.806;0.093
-0.002;-0.014;9.789;9.789;0.091
0.007;-0.014;9.791;9.791;0.088
-0.002;-0.002;9.782;9.782;0.085
0.010;-0.014;9.818;9.818;0.091
-0.007;-0.024;9.801;9.801;0.092
-0.007;-0.005;9.801;9.801;0.093
0.005;-0.010;9.791;9.791;0.092
0.003;-0.017;9.808;9.808;0.094
-0.005;-0.012;9.811;9.811;0.092
-0.005;-0.026;9.791;9.791;0.093
-0.012;0.002;9.784;9.784;0.097
0.019;-0.019;9.794;9.794;0.103
0.017;-0.014;9.823;9.823;0.105
-0.002;-0.012;9.801;9.801;0.105
0.010;-0.010;9.794;9.794;0.104
0.012;-0.000;9.794;9.794;0.102
0.010;0.010;9.796;9.796;0.099
-0.002;-0.017;9.808;9.808;0.104
0.007;-0.017;9.806;9.806;0.102
0.005;-0.005;9.796;9.796;0.101
0.012;-0.002;9.823;9.823;0.104
0.000;-0.024;9.794;9.794;0.109
0.010;0.002;9.796;9.796;0.105
0.022;-0.005;9.787;9.787;0.104
-0.009;-0.014;9.801;9.801;0.108
0.012;-0.019;9.799;9.799;0.109
0.017;-0.024;9.794;9.794;0.108
0.007;-0.022;9.811;9.811;0.109
0.003;-0.002;9.787;9.787;0.111
-0.002;-0.012;9.806;9.806;0.109
0.005;-0.005;9.808;9.808;0.102
0.024;-0.012;9.799;9.799;0.100
0.007;-0.007;9.818;9.818;0.100
0.010;-0.022;9.803;9.803;0.101
0.007;0.002;9.799;9.799;0.103
-0.019;-0.014;9.791;9.791;0.108
0.003;-0.014;9.813;9.813;0.107
-0.021;-0.010;9.799;9.799;0.111
0.000;-0.022;9.813;9.813;0.113
0.012;-0.012;9.811;9.811;0.111
0.007;0.007;9.799;9.799;0.107
0.003;-0.012;9.787;9.787;0.105
0.022;-0.017;9.815;9.815;0.110
-0.005;-0.010;9.806;9.806;0.108
0.003;-0.007;9.808;9.808;0.106
0.014;-0.012;9.811;9.811;0.106
-0.002;-0.005;9.803;9.803;0.106
-0.002;-0.014;9.801;9.801;0.102
0.010;-0.010;9.803;9.803;0.101
0.014;-0.014;9.794;9.794;0.101
0.005;-0.024;9.803;9.803;0.100
0.012;-0.022;9.787;9.787;0.098
-0.012;-0.019;9.808;9.808;0.101
0.019;-0.010;9.789;9.789;0.105
-0.005;-0.010;9.784;9.784;0.103
-0.002;-0.017;9.791;9.791;0.099
0.012;-0.002;9.779;9.779;0.098
-0.005;-0.012;9.823;9.823;0.105
0.003;-0.017;9.791;9.791;0.108
0.005;-0.022;9.820;9.820;0.110
-0.005;-0.022;9.808;9.808;0.109
-0.017;-0.014;9.796;9.796;0.104
0.007;-0.026;9.820;9.820;0.107
0.005;-0.005;9.806;9.806;0.109
-0.002;-0.017;9.784;9.784;0.112
-0.014;-0.017;9.806;9.806;0.113
-0.007;-0.017;9.791;9.791;0.113
-0.002;-0.010;9.789;9.789;0.113
0.005;-0.000;9.796;9.796;0.113
0.005;-0.000;9.791;9.791;0.112
0.007;-0.012;9.796;9.796;0.111
0.005;-0.010;9.823;9.823;0.110
-0.005;-0.014;9.794;9.794;0.108
0.024;0.002;9.825;9.825;0.114
-0.268;0.103;10.347;10.351;0.617
0.115;-0.074;9.638;9.639;1.030
-0.031;0.029;9.823;9.823;1.060
-0.009;0.033;9.827;9.827;1.060
0.007;-0.041;9.789;9.789;1.063
-0.002;0.010;9.755;9.756;1.065
-0.014;-0.010;9.914;9.914;1.077
-0.002;-0.010;9.700;9.700;1.097
0.014;-0.000;9.844;9.844;1.106
-0.005;0.014;9.772;9.772;1.108
0.034;-0.000;9.799;9.799;1.109
-0.005;-0.017;9.823;9.823;1.110
0.000;-0.012;9.772;9.772;1.111
0.003;0.002;9.832;9.832;1.113
-0.012;-0.005;9.851;9.851;1.113
-0.002;-0.024;9.767;9.767;1.116
0.005;-0.012;9.856;9.856;1.120
0.003;-0.002;9.775;9.775;1.122
0.029;-0.014;9.755;9.756;1.122
-0.002;-0.024;9.813;9.813;0.946
0.007;-0.031;9.763;9.763;0.466
0.010;-0.010;9.832;9.832;0.396
-0.007;-0.007;9.801;9.801;0.397
0.007;-0.012;9.772;9.772;0.389
0.000;-0.010;9.842;9.842;0.390
0.000;-0.014;9.753;9.753;0.367
-0.012;-0.010;9.811;9.811;0.305
0.024;0.017;9.808;9.808;0.271
0.019;-0.007;9.782;9.782;0.263
0.003;-0.014;9.830;9.830;0.264
-0.012;0.007;9.803;9.803;0.262
0.003;-0.007;9.787;9.787;0.258
-0.007;-0.010;9.835;9.835;0.256
-0.002;-0.024;9.784;9.784;0.260
0.005;-0.014;9.818;9.818;0.247
0.014;-0.014;9.799;9.799;0.232
0.017;-0.022;9.784;9.784;0.217
0.003;-0.010;9.820;9.820;0.218
0.010;-0.010;9.775;9.775;0.213
0.000;-0.010;9.794;9.794;0.208
-0.002;-0.002;9.820;9.820;0.196
-0.009;-0.010;9.823;9.823;0.194
-0.007;-0.007;9.830;9.830;0.191
-0.007;-0.002;9.796;9.796;0.181
