FallDetector: svm: 33,725, theta: -82,342, dsvm: 0,000, agsvm: -30,855, adgsvm: -0,000
FallDetector: svm: 33,725, theta: -82,342, dsvm: 0,000, agsvm: -30,855, adgsvm: -0,000
FallDetector: svm: 33,725, theta: -82,342, dsvm: 0,000, agsvm: -30,855, adgsvm: -0,000
FallDetector: svm: 34,544, theta: -76,087, dsvm: 66,977, agsvm: -29,204, adgsvm: -56,623
FallDetector: svm: 21,707, theta: -85,921, dsvm: 51,287, agsvm: -20,723, adgsvm: -48,963
FallDetector: svm: 28,559, theta: -86,053, dsvm: 49,849, agsvm: -27,306, adgsvm: -47,663
FallDetector: svm: 46,792, theta: -64,658, dsvm: 62,485, agsvm: -33,617, adgsvm: -44,891
FallDetector: svm: 11,210, theta: -62,018, dsvm: 35,813, agsvm: -7,725, adgsvm: -24,678
FallDetector: svm: 8,884, theta: -70,264, dsvm: 7,802, agsvm: -6,936, adgsvm: -6,091
FallDetector: svm: 7,259, theta: -86,581, dsvm: 3,701, agsvm: -6,984, adgsvm: -3,561
FallDetector: svm: 12,190, theta: 79,377, dsvm: 5,480, agsvm: 10,751, adgsvm: 4,833
FallDetector: svm: 12,791, theta: 89,373, dsvm: 8,250, agsvm: 12,702, adgsvm: 8,192
FallDetector: svm: 12,324, theta: -80,642, dsvm: 4,157, agsvm: -11,043, adgsvm: -3,724
FallDetector: svm: 10,216, theta: 80,358, dsvm: 12,292, agsvm: 9,121, adgsvm: 10,975
FallDetector: svm: 6,346, theta: 15,481, dsvm: 11,270, agsvm: 1,092, adgsvm: 1,939
FallDetector: svm: 6,346, theta: 15,481, dsvm: 0,000, agsvm: 1,092, adgsvm: 0,000
FallDetector: svm: 6,346, theta: 15,481, dsvm: 0,000, agsvm: 1,092, adgsvm: 0,000
FallDetector: svm: 6,346, theta: 15,481, dsvm: 0,000, agsvm: 1,092, adgsvm: 0,000
FallDetector: svm: 6,346, theta: 15,481, dsvm: 0,000, agsvm: 1,092, adgsvm: 0,000
